LJ0001|La bãsa fãa eb yẽgra ya boẽ, ya sikra sẽn na n yik ninsaal yĩngẽwa, n yɩɩd yĩnga sẽn n datã. Tõe ye yaasa be me n wilg bilfu, tɩ ninsaal waa rɩ.
LJ0002|Tõnda be sẽnẽgal ne îles Comores. Rũnda rũnda wã Tõnd be il-kõ-maoõre. walaa, tõnd tʋʋmdã yaa sõng n gɩdge.
LJ0003|Bõe n tõem tõnd võeemã pʋgẽ ne tõnd yaab nambã ne sikrã bãag pʋgẽ?
LJ0004|delete
LJ0006|Ra tẽn wilgame tɩ tõnd dɩɩb rãmba menga. A ya sucré yẽn tõe n tãl diabeta wã kõ tõndo.
LJ0007|delete
LJ0008|delete
LJ0009|delete
LJ0010|A tɩɩma a beeme la ka tõe n tolg n kɩta sazãnge.
LJ0011|delete
LJ0012|delete
LJ0013|delete
LJ0014|sikrã n na n waoog wa yĩnga pʋga. Tõe wa wã nẽn...
LJ0015|delete
LJ0016|delete
LJ0017|delete
LJ0018|delete
LJ0019|delete
LJ0020|Fo sõma boogã fo quantité wa sikra rɩɩbã. Wala fo sãn da rɩta quantité élevé. Fo sõma...
LJ0021|Fo sõmb n dɩta wala legumes dãma, wala salaade.
LJ0022|Bon, diabeta sãn tar neda a n sõma ba rɩɩb ramba ningã yaa rɩɩb la ning n tara b sikra wa wʋsgã.
LJ0023|delete
LJ0024|Rɩɩb rame n tol yaa, n taar noog wosga, a paa sõmb n le rĩi bãmb dãmba ye. Bon toin ya wa saagbo, zẽem-zẽedo.
LJ0025|delete
LJ0026|delete
LJ0027|delete
LJ0028|delete
LJ0029|delete
LJ0030|delete
LJ0031|delete
LJ0032|delete
LJ0033|delete
LJ0034|delete
LJ0035|delete
LJ0036|delete
LJ0037|Yãmb sẽn wilg-y naokendeb ninsa fãa ed sẽn n tõe n yẽed ned n bãng sẽn yaa sik-ra-bãang bi pa sik-ra-bãang n tara wa yaa. Bʋrkẽna faso kayaa.
LJ0038|A tagma ya wana reinga nẽba wʋsg ka tar dɩabɛtã reinga neba sõnr sẽn zẽkeb naor n wat yãmb nẽnge.
LJ0039|delete
LJ0040|Pipi tɩ d wa burkinawa yaa, d na n wẽneg n gɛs a dũniyã zug yaa...yellã yaa wãna. Dũniyã zug yellã yaa yelle. Bõe tɩd yet tɩ yaa yelle?
LJ0041|Sãã n yaa wala neba sõor sẽn n zẽng n ta woto ne wã. Rĩi yinga a tara tɩɩm.
LJ0042|delete
LJ0043|delete
LJ0044|Bi-pi wã laafɩ wa waeenge. yiibẽn soaba sẽn n wa ti põõsg laafɩ wa waeenge.
LJ0045|Bãmb kaobg pʋgẽ, n na n zẽeg n ta bãmb pɩsnaans fãa sẽn yɩɩda yaa bɛɛd kʋdba. Bɛɛd kʋda.
LJ0046|Nebã naas pʋgẽn, n tar diabɛtã. A tããba faa gil yita tonda...
LJ0047|delete
LJ0048|Bãngã sae tɩ, a a reegdã fã mi n wa likda, a tɩ pʋg-a la a zãabã, la a egzamin nambã, a tõe n deeg fã mi n wa likda, n tõe n ta kaobg pʋgẽ, n tat wala pɩsdã.
LJ0049|delete
LJ0050|A lo. Y tõe n tɩlẽ n tẽngame? N da ko. Y barka, tõnd tõe n dɩka makre, prof. Tũunu n yaa logtoor bedre, n be opital bʋgdgo, ra maana vɛɛsgo.
LJ0053|Dõng yenda menga zõe n ya tɩɩm, tɩ tõnd sak nebã tʋm maan tʋgri la b yi. B ye tɩ yi n yĩm wɩsg rãme tõnd pa yete yɩɩm maan z paoore n yɩɩg pãng ye. Walemã yi n maan z paoore n bao wa kur-koɛɛg n tẽo n zʋʋs saka poglem ye. Ayo, nin ka fãa maan z paoore n zems neeme.
LJ0054|Baa rã nood n wã yaa woto wɛ. Yaa n dɛgle tɩ kũum ta kũum. La tõnd n yel yãmb ti suykra bee...
LJ0055|Rẽnd tõnd sʋʋrg panaa n le tall yõod wɛ. bala tõnd kẽngame tʋg yõog bũmbg laninga sẽn...
LJ0057|Tʋf san tar diabɛta, fo yõkd-a la nanana n yɩɩd n pa tara diabɛta, fãa a yembre. La wa paam n signe n ning n tara diabɛta, a soaba maanda nasa arãb n boond tɩ oog n gãog n graag kao-plikasyõ n bã, a ne tõe yɩ sã bab ta soaba yɩ dũniya.
LJ0060|koabg pugẽn pa le yaa neb n nui, n na lebg neb n taa...
LJ0061|delete
LJ0063|Bãmb pa tẽn tɩ pa koom bãonegã biɩ, ne a sat n wilg dɩ-fɛdaasã yaa zĩ-pʋg wɩ la yamẽ taaba.
LJ0064|delete
LJ0066|delete
LJ0067|delete
LJ0068|delete
LJ0069|delete
LJ0070|delete
LJ0071|Tõnd san n tɩ wilg logtaeemba woto. logtaeemba mi b sẽn n na maan to-to n guls tim n kon tõndo.
LJ0074|delete
LJ0075|delete
LJ0076|delete
LJ0077|delete
LJ0078|delete
LJ0079|delete
LJ0080|delete
LJ0081|delete
LJ0084|delete
LJ0085|delete
LJ0086|delete
LJ0086|Il fo tɩ tao a semeneda tãab woto, tɩ yãoogã le lebg paam-a-a, a leb a zĩigẽ, a lebg tʋmdame, ba sãaga a saar rabɩt n bɩ bõe. La yɩlẽ ta leb a pipi zĩigẽ wã, tõe n ta a semeneda yɩ wɛ tã.
LJ0093|delete
LJ0095|Yaa wa biiga zãabã wɛɛngame bala. Tõnd gesame. Pagba wʋsg yetame tɩ y fãa yɩ d sɛ moomdã bĩndã n lebg kẽegã, fãa yetame tɩ yaa sɛ moomde sɩd moodame.
LJ0097|A tara, tõe n maana mam ning-a la wa zĩis a tãabo. Bɩka y tõnd n ges tɩ yaa wa mik-raoobdã n kẽd noorã, y fo ka tɩ zĩigã yɩolgẽ mde. Dõng yãmb n beeg wã.
LJ0100|A ned sã n dɩk-a ta pa zem hene, a ya tɩb tɩɩm wã. La, b sã n dɩk-a ta pa zem ne fo yĩnga ya. A sõmame tɩ...
LJ0102|Bãag sẽngãara sẽn zabd ne sõama sõama n tõg n yɩɩd-a fulg-fʋʋda. Fulg-fʋʋda bãaga a wata ne a sõama, la tɩ tẽn tõg n yɩ sababo, tɩ wa wata ne kãnsɛɛre.
